1709522422.908687,0
1709522422.990849,0
1709522423.043946,1
1709522423.098323,1
1709522423.131069,1
1709522423.179049,2
1709522423.249501,1
1709522423.275984,1
1709522423.314522,3
1709522423.338027,1
1709522423.367560,1
1709522423.458629,0
1709522423.526715,1
1709522423.570239,1
1709522423.595629,1
1709522423.617821,2
1709522423.642323,2
1709522423.677004,2
1709522423.708171,2
1709522423.792737,2
1709522423.819717,2
1709522423.850321,2
1709522423.944297,2
1709522423.978812,2
1709522424.008321,4
1709522424.045871,3
1709522424.090693,1
1709522424.115373,2
1709522424.140942,1
1709522424.187240,1
1709522424.217911,1
1709522424.244636,1
1709522424.278870,1
1709522424.306417,0
1709522424.338630,1
1709522424.417049,1
1709522424.447176,2
1709522424.551218,0
1709522424.577469,2
1709522424.604347,2
1709522424.659485,1
1709522424.684302,1
1709522424.783818,4
1709522424.809313,2
1709522424.840122,3
1709522424.914753,1
1709522424.994043,0
1709522425.027849,1
1709522425.063764,1
1709522425.143906,1
1709522425.173850,2
1709522425.247058,2
1709522425.274775,2
1709522425.318242,3
1709522425.349023,2
1709522425.376339,4
1709522425.434369,2
1709522425.464554,2
1709522425.539909,2
1709522425.563795,3
1709522425.598859,3
1709522425.627765,2
1709522425.652989,2
1709522425.705558,1
1709522425.729865,2
1709522425.771512,2
1709522425.831300,2
1709522425.866333,2
1709522425.887731,2
1709522425.925858,2
1709522426.000345,1
1709522426.036192,1
1709522426.061303,2
1709522426.083123,2
1709522426.170746,1
1709522426.201754,2
1709522426.225842,2
1709522426.247760,2
1709522426.312344,2
1709522426.336788,2
1709522426.371136,2
1709522426.399893,2
1709522426.422563,3
1709522426.464438,2
1709522426.493040,2
1709522426.518191,1
1709522426.570435,2
1709522426.611152,3
1709522426.659453,3
1709522426.698573,6
1709522426.744085,5
1709522426.772043,6
1709522426.823790,6
1709522426.905468,5
1709522426.935194,5
1709522426.975666,4
1709522427.007338,4
1709522427.095013,4
1709522427.133564,4
1709522427.171846,4
1709522427.201191,4
1709522427.247706,3
1709522427.282443,2
1709522427.389980,2
1709522427.427499,3
1709522427.478070,3
1709522427.523840,4
1709522427.586290,2
1709522427.611890,2
1709522427.642763,3
1709522427.675068,3
1709522427.747492,1
1709522427.816365,1
1709522427.845073,1
1709522427.868659,1
1709522427.903108,0
1709522427.942279,1
1709522427.971550,1
1709522428.056324,1
1709522428.084463,1
1709522428.106847,1
1709522428.127691,1
1709522428.186439,3
1709522428.216480,3
1709522428.241676,5
