PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=38 ttl=64 time=171 ms
64 bytes from 10.0.0.8: icmp_seq=39 ttl=64 time=184 ms
64 bytes from 10.0.0.8: icmp_seq=40 ttl=64 time=191 ms
64 bytes from 10.0.0.8: icmp_seq=41 ttl=64 time=171 ms
64 bytes from 10.0.0.8: icmp_seq=42 ttl=64 time=163 ms
64 bytes from 10.0.0.8: icmp_seq=43 ttl=64 time=170 ms
64 bytes from 10.0.0.8: icmp_seq=44 ttl=64 time=172 ms
64 bytes from 10.0.0.8: icmp_seq=45 ttl=64 time=180 ms
64 bytes from 10.0.0.8: icmp_seq=46 ttl=64 time=186 ms
64 bytes from 10.0.0.8: icmp_seq=47 ttl=64 time=185 ms
64 bytes from 10.0.0.8: icmp_seq=48 ttl=64 time=187 ms
64 bytes from 10.0.0.8: icmp_seq=49 ttl=64 time=185 ms
64 bytes from 10.0.0.8: icmp_seq=50 ttl=64 time=196 ms
64 bytes from 10.0.0.8: icmp_seq=51 ttl=64 time=195 ms
64 bytes from 10.0.0.8: icmp_seq=52 ttl=64 time=190 ms
64 bytes from 10.0.0.8: icmp_seq=53 ttl=64 time=202 ms
64 bytes from 10.0.0.8: icmp_seq=54 ttl=64 time=209 ms
64 bytes from 10.0.0.8: icmp_seq=55 ttl=64 time=210 ms
64 bytes from 10.0.0.8: icmp_seq=56 ttl=64 time=222 ms
64 bytes from 10.0.0.8: icmp_seq=57 ttl=64 time=223 ms
64 bytes from 10.0.0.8: icmp_seq=58 ttl=64 time=322 ms
64 bytes from 10.0.0.8: icmp_seq=59 ttl=64 time=327 ms
64 bytes from 10.0.0.8: icmp_seq=60 ttl=64 time=258 ms
64 bytes from 10.0.0.8: icmp_seq=61 ttl=64 time=255 ms
64 bytes from 10.0.0.8: icmp_seq=62 ttl=64 time=294 ms
64 bytes from 10.0.0.8: icmp_seq=63 ttl=64 time=251 ms
64 bytes from 10.0.0.8: icmp_seq=64 ttl=64 time=264 ms
64 bytes from 10.0.0.8: icmp_seq=65 ttl=64 time=234 ms
64 bytes from 10.0.0.8: icmp_seq=66 ttl=64 time=238 ms
64 bytes from 10.0.0.8: icmp_seq=67 ttl=64 time=236 ms
